ID,Year,Cause Name,Deaths
1,2016,Unintentional injuries,2755
2,2016,Unintentional injuries,439
3,2016,Unintentional injuries,4010
4,2016,Unintentional injuries,1604
5,2016,Unintentional injuries,13213
6,2016,Unintentional injuries,2880
7,2016,Unintentional injuries,1978
8,2016,Unintentional injuries,516
9,2016,Unintentional injuries,401
10,2016,Unintentional injuries,12561
11,2016,Unintentional injuries,4701
12,2016,Unintentional injuries,577
13,2016,Unintentional injuries,849
14,2016,Unintentional injuries,5508
15,2016,Unintentional injuries,3496
16,2016,Unintentional injuries,1608
17,2016,Unintentional injuries,1444
18,2016,Unintentional injuries,3194
19,2016,Unintentional injuries,2710
20,2016,Unintentional injuries,909
21,2016,Unintentional injuries,2271
22,2016,Unintentional injuries,3831
23,2016,Unintentional injuries,5313
24,2016,Unintentional injuries,2697
25,2016,Unintentional injuries,1803
26,2016,Unintentional injuries,3625
27,2016,Unintentional injuries,626
28,2016,Unintentional injuries,772
29,2016,Unintentional injuries,1395
30,2016,Unintentional injuries,924
31,2016,Unintentional injuries,3839
32,2016,Unintentional injuries,1487
33,2016,Unintentional injuries,7354
34,2016,Unintentional injuries,5476
35,2016,Unintentional injuries,371
36,2016,Unintentional injuries,7999
37,2006,All causes,3354
38,2016,Unintentional injuries,2592
39,2016,Unintentional injuries,2105
40,2016,Unintentional injuries,8410
41,2016,Unintentional injuries,675
42,2016,Unintentional injuries,3012
43,2016,Unintentional injuries,505
44,2016,Unintentional injuries,4238
45,2016,Unintentional injuries,10536
46,2016,Unintentional injuries,1211
47,2016,Unintentional injuries,372
48,2016,Unintentional injuries,3710
49,2016,Unintentional injuries,3221
50,2016,Unintentional injuries,1705
51,2016,Unintentional injuries,3575
52,2016,Unintentional injuries,371
53,2016,All causes,52466
54,2015,All causes,51909
55,2014,All causes,50215
56,2013,All causes,50189
57,2012,All causes,49301
58,2011,All causes,48681
59,2010,All causes,48038
60,2009,All causes,47470
61,2008,All causes,47707
62,2007,All causes,46696
63,2006,All causes,46977
64,2005,All causes,47090
65,2004,All causes,46121
66,2003,All causes,46716
67,2002,All causes,46069
68,2001,All causes,45316
69,2000,All causes,45062
70,1999,All causes,44806
71,2016,All causes,4494
72,2015,All causes,4316
73,2014,All causes,4128
74,2013,All causes,3997
75,2012,All causes,3912
76,2011,All causes,3849
77,2010,All causes,3728
78,2009,All causes,3618
79,2008,All causes,3494
80,2007,All causes,3463
81,2005,All causes,3168
82,2004,All causes,3051
83,2003,All causes,3180
84,2002,All causes,3030
85,2001,All causes,2974
86,2000,All causes,2914
87,1999,All causes,2708
88,2016,All causes,56645
89,2015,All causes,54299
90,2014,All causes,51538
91,2013,All causes,50534
92,2012,All causes,49549
93,2011,All causes,48381
94,2010,All causes,46762
95,2009,All causes,45816
96,2008,All causes,45823
97,2007,All causes,45554
98,2006,All causes,46365
99,2005,All causes,45827
100,2004,All causes,43198
101,2003,All causes,43392
102,2002,All causes,42816
103,2001,All causes,41058
104,2000,All causes,40500
105,1999,All causes,40050
106,2016,All causes,31756
107,2015,All causes,31617
108,2014,All causes,30467
109,2013,All causes,30437
110,2012,All causes,30117
111,2011,All causes,29653
112,2010,All causes,28916
113,2009,All causes,28673
114,2008,All causes,29322
115,2007,All causes,28191
116,2006,All causes,27901
117,2005,All causes,28055
118,2004,All causes,27528
119,2003,All causes,27918
120,2002,All causes,28513
121,2001,All causes,27759
122,2000,All causes,28217
123,1999,All causes,27925
124,2016,All causes,262240
125,2015,All causes,259206
126,2014,All causes,245929
127,2013,All causes,248359
128,2012,All causes,242554
129,2011,All causes,239942
130,2010,All causes,234012
131,2009,All causes,232736
132,2008,All causes,234766
133,2007,All causes,233720
134,2006,All causes,237126
135,2005,All causes,237037
136,2004,All causes,232525
137,2003,All causes,239371
138,2002,All causes,234565
139,2001,All causes,234044
140,2000,All causes,229551
141,1999,All causes,229380
142,2016,All causes,37530
143,2015,All causes,36349
144,2014,All causes,35237
145,2013,All causes,33712
146,2012,All causes,33133
147,2011,All causes,32563
148,2010,All causes,31465
149,2009,All causes,31173
150,2008,All causes,31274
151,2007,All causes,29993
152,2006,All causes,29521
153,2005,All causes,29627
154,2004,All causes,28309
155,2003,All causes,29506
156,2002,All causes,29210
157,2001,All causes,28294
158,2000,All causes,27288
159,1999,All causes,27114
160,2016,All causes,30543
161,2015,All causes,30535
162,2014,All causes,29860
163,2013,All causes,29632
164,2012,All causes,29316
165,2011,All causes,29526
166,2010,All causes,28692
167,2009,All causes,28585
168,2008,All causes,28794
169,2007,All causes,28651
170,2006,All causes,29260
171,2005,All causes,29467
172,2004,All causes,29314
173,2003,All causes,29627
174,2002,All causes,30122
175,2001,All causes,29827
176,2000,All causes,30129
177,1999,All causes,29446
178,2016,All causes,8874
179,2015,All causes,8582
180,2014,All causes,8260
181,2013,All causes,7967
182,2012,All causes,7875
183,2011,All causes,7845
184,2010,All causes,7706
185,2009,All causes,7534
186,2008,All causes,7622
187,2007,All causes,7327
188,2006,All causes,7204
189,2005,All causes,7472
190,2004,All causes,7143
191,2003,All causes,7070
192,2002,All causes,6861
193,2001,All causes,7112
194,2000,All causes,6875
195,1999,All causes,6666
196,2016,All causes,5037
197,2015,All causes,4871
198,2014,All causes,4723
199,2013,All causes,4719
200,2012,All causes,4650
201,2011,All causes,4589
202,2010,All causes,4672
203,2009,All causes,4834
204,2008,All causes,5140
205,2007,All causes,5188
206,2006,All causes,5344
207,2005,All causes,5483
208,2004,All causes,5454
209,2003,All causes,5573
210,2002,All causes,5851
211,2001,All causes,5951
212,2000,All causes,6001
213,1999,All causes,6076
214,2016,All causes,197313
215,2015,All causes,191737
216,2014,All causes,185956
217,2013,All causes,181112
218,2012,All causes,177291
219,2011,All causes,173976
220,2010,All causes,173791
221,2009,All causes,169924
222,2008,All causes,170703
223,2007,All causes,168096
